time,symbol,event,score,state,bias,allow_trend,allow_mean_reversion,flip_count,sma_100,sma_200,sma_spread_pct,dir_5m_1,dir_5m_2,dir_5m_3,dir_5m_4,dir_5m_5,dir_5m_6,dir_15m,dir_30m,vwap_dist_5m,vwap_dist_15m,vwap_dist_30m,vwap_dist_1h,sizing_mult,risk_mult,reason,quote_time,bid_price,bid_size,ask_price,ask_size,mid,spread,spread_pct_mid
2026-01-29T10:56:00-05:00,MIND,5m_close,1.2,CONFIRMED,BOTH,1,1,0,nan,nan,nan,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T10:21:15.778160-05:00,9.23,100.0,0.0,0.0,4.615,-9.23,-200.0
2026-01-29T10:46:00-05:00,SPY,1h_close,1.0,ACTIVE,BOTH,1,1,0,nan,nan,nan,0,-1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-29T11:01:00.147942-05:00,686.08,80.0,686.13,120.0,686.105,0.049999999999954525,0.0072875143017401885
2026-01-29T10:46:00-05:00,SPY,30m_close,1.2,CONFIRMED,BOTH,1,1,0,nan,nan,nan,0,-1,0,0,0,0,0,-1,nan,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.147942-05:00,686.08,80.0,686.13,120.0,686.105,0.049999999999954525,0.0072875143017401885
2026-01-29T10:46:00-05:00,SPY,15m_close,1.2,CONFIRMED,BOTH,1,1,0,nan,nan,nan,0,-1,0,0,0,0,-1,-1,nan,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.147942-05:00,686.08,80.0,686.13,120.0,686.105,0.049999999999954525,0.0072875143017401885
2026-01-29T10:55:00-05:00,SPY,5m_close,1.2,CONFIRMED,BOTH,1,1,1,nan,nan,nan,0,-1,1,0,0,0,-1,-1,-0.010970794907891048,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.147942-05:00,686.08,80.0,686.13,120.0,686.105,0.049999999999954525,0.0072875143017401885
2026-01-29T10:46:00-05:00,APLD,1h_close,0.55,SUSPENDED,BOTH,1,1,1,nan,nan,nan,1,-1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.0,Suspended: 5m#1/#2 conflict (VWAP dist nan%),2026-01-29T11:01:00.122182-05:00,37.68,100.0,37.72,100.0,37.7,0.03999999999999915,0.1061007957559659
2026-01-29T10:46:00-05:00,APLD,30m_close,0.66,CONFIRMED,BOTH,1,1,1,nan,nan,nan,1,-1,0,0,0,0,0,1,nan,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.122182-05:00,37.68,100.0,37.72,100.0,37.7,0.03999999999999915,0.1061007957559659
2026-01-29T10:46:00-05:00,APLD,15m_close,0.66,CONFIRMED,BOTH,1,1,1,nan,nan,nan,1,-1,0,0,0,0,1,1,nan,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.122182-05:00,37.68,100.0,37.72,100.0,37.7,0.03999999999999915,0.1061007957559659
2026-01-29T10:55:00-05:00,APLD,5m_close,0.66,CONFIRMED,BOTH,1,1,2,nan,nan,nan,1,-1,1,0,0,0,1,1,0.2718341732195637,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.122182-05:00,37.68,100.0,37.72,100.0,37.7,0.03999999999999915,0.1061007957559659
2026-01-29T10:46:00-05:00,IONQ,1h_close,1.0,ACTIVE,BOTH,1,1,0,nan,nan,nan,-1,-1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-29T11:01:00.129308-05:00,42.44,100.0,42.48,100.0,42.459999999999994,0.03999999999999915,0.09420631182289015
2026-01-29T10:46:00-05:00,IONQ,30m_close,1.2,CONFIRMED,BOTH,1,1,0,nan,nan,nan,-1,-1,0,0,0,0,0,-1,nan,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.129308-05:00,42.44,100.0,42.48,100.0,42.459999999999994,0.03999999999999915,0.09420631182289015
2026-01-29T10:46:00-05:00,IONQ,15m_close,1.2,CONFIRMED,BOTH,1,1,0,nan,nan,nan,-1,-1,0,0,0,0,-1,-1,nan,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.129308-05:00,42.44,100.0,42.48,100.0,42.459999999999994,0.03999999999999915,0.09420631182289015
2026-01-29T10:55:00-05:00,IONQ,5m_close,1.2,CONFIRMED,BOTH,1,1,1,nan,nan,nan,-1,-1,1,0,0,0,-1,-1,-0.041579947578460945,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.129308-05:00,42.44,100.0,42.48,100.0,42.459999999999994,0.03999999999999915,0.09420631182289015
