time,symbol,event,state,bias,allow_trend,allow_mean_reversion,flip_count,dir_5m_1,dir_5m_2,dir_5m_3,dir_5m_4,dir_5m_5,dir_5m_6,dir_15m,dir_30m,vwap_dist_5m,vwap_dist_15m,vwap_dist_30m,vwap_dist_1h,sizing_mult,risk_mult,reason,quote_time,bid_price,bid_size,ask_price,ask_size,mid,spread,spread_pct_mid
2026-01-26T12:35:00-05:00,SOUN,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:40:59.314141-05:00,10.04,2800.0,10.05,2000.0,10.045,0.010000000000001563,0.09955201592833811
2026-01-26T12:35:00-05:00,QBTS,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:41:59.816187-05:00,24.54,400.0,24.55,400.0,24.545,0.010000000000001563,0.040741495212880674
2026-01-26T12:35:00-05:00,NGD,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:41:58.508961-05:00,13.27,8900.0,13.28,4200.0,13.274999999999999,0.009999999999999787,0.07532956685498898
2026-01-26T12:35:00-05:00,LUNR,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:41:52.633896-05:00,18.68,400.0,18.69,200.0,18.685000000000002,0.010000000000001563,0.05351886540006188
2026-01-26T12:36:00-05:00,OPEN,5m_close,1.0,ACTIVE,BOTH,1,1,0,1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:41:58.783238-05:00,5.98,13100.0,5.99,5600.0,5.985,0.009999999999999787,0.16708437761068984
2026-01-26T12:37:00-05:00,GORO,5m_close,1.0,ACTIVE,BOTH,1,1,0,1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:42:58.082545-05:00,1.84,500.0,1.85,900.0,1.8450000000000002,0.010000000000000009,0.5420054200542009
2026-01-26T12:45:00-05:00,SOUN,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:50:58.798815-05:00,10.03,2600.0,10.04,4500.0,10.035,0.009999999999999787,0.09965122072745178
2026-01-26T12:45:00-05:00,XLV,5m_close,1.0,ACTIVE,BOTH,1,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:50:59.923909-05:00,158.04,500.0,158.06,800.0,158.05,0.020000000000010232,0.012654223347048549
2026-01-26T12:45:00-05:00,UNG,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:51:00.134215-05:00,15.12,6800.0,15.13,5900.0,15.125,0.010000000000001563,0.06611570247934918
2026-01-26T12:45:00-05:00,IAG,5m_close,1.0,ACTIVE,BOTH,1,1,0,1,0,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-26T12:51:00.117333-05:00,21.79,600.0,21.8,900.0,21.795,0.010000000000001563,0.04588208304657748
